ID,gds,title,description,type,pubmed_id,gpl,platform_organism,platform_technology_type,feature_count,sample_organism,sample_type,channel_count,sample_count,value_type,gse,order,update_date,
1,GDS5,Diurnal and circadian-regulated genes (I),Analysis of plant molecular response to day/night cycling. Samples taken at 6 hour intervals throughout the day. Identification of genes that cycle with either a diurnal or a circadian pattern.,Expression profiling by array,11158533,GPL13,Arabidopsis thaliana,spotted DNA/cDNA,12800,Arabidopsis thaliana,RNA,2,5,log ratio,GSE4,ordered,4/3/03,
2,GDS6,Germline development and function,"Identification and kinetics of sperm-enriched, oocyte-enriched and germline-intrinsic patterns of gene expression. Identifies genes that participate in biological functions that make the germline unique.",Expression profiling by array,11030340,GPL14,Caenorhabditis elegans,spotted DNA/cDNA,13323,Caenorhabditis elegans,RNA,2,29,log ratio,GSE5,none,4/8/03,
3,GDS10,Type 1 diabetes gene expression profiling,"Examination of spleen and thymus of type 1 diabetes nonobese diabetic (NOD) mouse, four NOD-derived diabetes-resistant congenic strains and two nondiabetic control strains.",Expression profiling by array,11827943,GPL24,Mus musculus,in situ oligonucleotide,39114,Mus musculus,RNA,1,28,count,GSE11,none,7/15/03,
4,GDS12,Bone marrow stromal cell lines,"Examination of two functionally distinct human bone marrow stromal cell lines, HS-27a and HS-5. Four independent RNA samples from each cell line analyzed.",Expression profiling by array,12184274,GPL44,Homo sapiens,spotted DNA/cDNA,17588,Homo sapiens,RNA,2,8,log ratio,GSE463,none,6/25/03,
5,GDS15,Heat shock from various temperatures to 37°C,"Samples collected 20 min after temperature shift from either 17°C, 21°C, 25°C, 29°C or 33°C to 37°C. Included as part of a detailed characterization of global expression programs triggered by environmental stress.",Expression profiling by array,11102521,GPL51,Saccharomyces cerevisiae,spotted DNA/cDNA,9216,Saccharomyces cerevisiae,RNA,2,6,log ratio,GSE18,ordered,11/3/05,
6,GDS16,Heat shock from 25°C to 37°C time course,Heat shock from 25°C to 37°C. Samples collected at several time points up to 80 minutes. Included as part of a detailed characterization of global expression programs triggered by stress.,Expression profiling by array,11102521,GPL51,Saccharomyces cerevisiae,spotted DNA/cDNA,9216,Saccharomyces cerevisiae,RNA,2,8,log ratio,GSE18,ordered,11/3/05,
7,GDS17,Hydrogen peroxide response,Samples collected 20 minutes after exposure to 0.3 mM hydrogen peroxide. Wild type and mutant strains examined. Included as part of a detailed characterization of global expression programs triggered by environmental stress.,Expression profiling by array,11102521,GPL51,Saccharomyces cerevisiae,spotted DNA/cDNA,9216,Saccharomyces cerevisiae,RNA,2,2,log ratio,GSE18,none,4/4/03,
8,GDS18,Stationary phase time course (y12),Analysis of stationary phase. Culture grown to OD600 0.3 after which samples collected at various time points up to 13 days. Included as part of a detailed characterization of global expression programs triggered by environmental stress.,Expression profiling by array,11102521,GPL52,Saccharomyces cerevisiae,spotted DNA/cDNA,9216,Saccharomyces cerevisiae,RNA,2,10,log ratio,GSE18,ordered,4/3/03,
9,GDS19,Nitrogen depletion time course,"Samples grown in minimal medium without amino acids or adenine, low ammonium sulfate and collected at various time points up to 3 days. Included as part of a detailed characterization of global expression programs triggered by stress.",Expression profiling by array,11102521,GPL52,Saccharomyces cerevisiae,spotted DNA/cDNA,9216,Saccharomyces cerevisiae,RNA,2,9,log ratio,GSE18,ordered,4/4/03,
10,GDS20,Hyper-osmotic shock time course,Samples grown in YPD supplemented with 1 M sorbitol and collected at several time points up to 60 minutes. Included as part of a detailed characterization of global expression programs triggered by stress.,Expression profiling by array,11102521,GPL52,Saccharomyces cerevisiae,spotted DNA/cDNA,9216,Saccharomyces cerevisiae,RNA,2,6,log ratio,GSE18,ordered,4/4/03,
11,GDS21,Carbon sources,"Samples grown in YP media supplemented with 2% weight to volume of glucose, raffinose, galactose, fructose, sucrose or ethanol as carbon source. Included as part of a detailed characterization of global expression programs triggered by stress.",Expression profiling by array,11102521,GPL52,Saccharomyces cerevisiae,spotted DNA/cDNA,9216,Saccharomyces cerevisiae,RNA,2,6,log ratio,GSE18,none,3/31/03,
12,GDS23,Homeobox otd/Otx2 transcription factor action,Analysis of the effects of overexpression of orthodenticle homeobox genes otd (Drosophila) and Otx2 (human) reveals evolutionary conservation.  The otd/Otx2 homeobox genes play a role in embryogenesis of the head and brain.,Expression profiling by array,11983056,GPL70,Drosophila melanogaster,in situ oligonucleotide,14090,Drosophila melanogaster,RNA,1,16,count,GSE32,none,3/22/04,
13,GDS26,Ume6 regulon (Ye6100subA),Examination of wild type and ume6-deleted diploids during vegetative growth in glucose and acetate in order to expand the profile of ume6-regulated genes.,Expression profiling by array,12370439,GPL163,Saccharomyces cerevisiae,in situ oligonucleotide,1651,Saccharomyces cerevisiae,RNA,1,8,count,GSE52,none,4/4/03,
14,GDS30,Diamide treatment time course,"Diamide (1.5 mM) added to culture, and samples recovered at several time points up to 90 minutes. Included as part of a detailed characterization of global expression programs triggered by stress.",Expression profiling by array,11102521,GPL53,Saccharomyces cerevisiae,spotted DNA/cDNA,8832,Saccharomyces cerevisiae,RNA,2,8,log ratio,GSE18,ordered,4/4/03,
15,GDS31,Dithiothrietol exposure time course (y13),Dithiothrietol (DTT; 2.5 mM) added to culture and samples recovered at several time points up to 180 minutes. Included as part of a detailed characterization of global expression programs triggered by stress.,Expression profiling by array,11102521,GPL53,Saccharomyces cerevisiae,spotted DNA/cDNA,8832,Saccharomyces cerevisiae,RNA,2,8,log ratio,GSE18,ordered,4/4/03,
16,GDS33,Hypo-osmotic shock time course,"Cells resuspended in YPD medium without sorbitol. Samples recovered at 5, 15, 30, 45 and 60 minutes. Included as part of a detailed characterization of global expression programs triggered by stress.",Expression profiling by array,11102521,GPL56,Saccharomyces cerevisiae,spotted DNA/cDNA,8448,Saccharomyces cerevisiae,RNA,2,5,log ratio,GSE18,ordered,4/4/03,
17,GDS34,Heat shock from 37°C to 25°C time course,"Heat shock from 37°C to 25°C. Samples collected at 15, 30, 45, 60 and 90 minutes. Included as part of a detailed characterization of global expression programs triggered by environmental stress.",Expression profiling by array,11102521,GPL56,Saccharomyces cerevisiae,spotted DNA/cDNA,8448,Saccharomyces cerevisiae,RNA,2,5,log ratio,GSE18,ordered,11/3/05,
18,GDS35,"Heat shock, mild, at variable osmolarity","Heat shock from 29°C to 33°C, with or without addition of 1 M sorbitol. Samples collected at 5, 15 and 30 minutes. Included as part of a detailed characterization of global expression programs triggered by environmental stress.",Expression profiling by array,11102521,GPL56,Saccharomyces cerevisiae,spotted DNA/cDNA,8448,Saccharomyces cerevisiae,RNA,2,6,log ratio,GSE18,none,11/3/05,
19,GDS36,Heat shock from 29°C to 33°C time course,"Heat shock from 29°C to 33°C. Samples collected at 5, 15, 30 and 90 minutes. Included as part of a detailed characterization of global expression programs triggered by environmental stress.",Expression profiling by array,11102521,GPL56,Saccharomyces cerevisiae,spotted DNA/cDNA,8448,Saccharomyces cerevisiae,RNA,2,4,log ratio,GSE18,ordered,11/3/05,
20,GDS37,Diauxic shift time course,Gene expression patterns accompanying the metabolic shift from anaerobic fermentation to aerobic respiration. Samples taken at several time points up to 20.5 h.,Expression profiling by array,9381177,GPL57,Saccharomyces cerevisiae,spotted DNA/cDNA,6400,Saccharomyces cerevisiae,RNA,2,7,log ratio,GSE28,ordered,1/22/09,
21,GDS38,"Cell cycle, alpha-factor block-release time course","Culture synchronized by alpha factor arrest, then samples taken every 7 minutes as cells went through cell cycle. Included as part of a comprehensive identification of cell cycle-regulated genes.",Expression profiling by array,"984,356,910,963,673",GPL59,Saccharomyces cerevisiae,spotted DNA/cDNA,7680,Saccharomyces cerevisiae,RNA,2,16,log ratio,GSE22,ordered,4/4/03,
22,GDS39,"Cell cycle, elutriation time course",Culture synchronized by elutriation and samples removed at several time points up to 6.5 h. Included as part of a comprehensive identification of cell cycle-regulated genes.,Expression profiling by array,"984,356,910,963,673",GPL59,Saccharomyces cerevisiae,spotted DNA/cDNA,7680,Saccharomyces cerevisiae,RNA,2,14,log ratio,GSE24,ordered,4/4/03,
23,GDS40,"Cardiac development, maturation and aging",Benchmark gene expression profile of heart ventricle at various ages to monitor changes in cardiac development. Examined embryonic stages through adolescence and adulthood.,Expression profiling by array,,GPL32,Mus musculus,in situ oligonucleotide,12654,Mus musculus,RNA,1,24,count,GSE75,none,4/4/03,
24,GDS45,Cochlear hair cell line differentiation time course (Mu11K-A),"Gene expression profile of differentiation of inner ear hair cell precursors in vitro. A conditionally immortal cell line derived from the mouse cochlea, UB/OC-1, examined from 0 to 14 days.",Expression profiling by array,12097346,GPL75,Mus musculus,in situ oligonucleotide,6584,Mus musculus,RNA,1,16,count,GSE36,ordered,4/4/03,
25,GDS46,E2F1-regulated genes,"Identification of E2F1-regulated genes that modulate the transition from quiescence into DNA synthesis, or have roles in apoptosis, signal transduction, membrane biology, and transcription repression.",Expression profiling by array,11888208,GPL75,Mus musculus,in situ oligonucleotide,6584,Mus musculus,RNA,1,4,count,GSE498,none,7/1/03,
26,GDS47,Granulosa cell tumorigenesis  (Mu11K-A),"Comparison of global changes in ovarian transcriptomes uniquely associated with either granulosa cell tumors or luteomas, and identification of new markers for this tumor phenotype. Luteinizing hormone hypersecreting mice studied.",Expression profiling by array,12040011,GPL75,Mus musculus,in situ oligonucleotide,6584,Mus musculus,RNA,1,9,count,GSE499,none,7/1/03,
27,GDS48,Granulosa cell tumorigenesis (Mu11K-B),"Comparison of global changes in ovarian transcriptomes uniquely associated with either granulosa cell tumors or luteomas, and identification of new markers for this tumor phenotype. Luteinizing hormone hypersecreting mice studied.",Expression profiling by array,12040011,GPL76,Mus musculus,in situ oligonucleotide,6595,Mus musculus,RNA,1,9,count,GSE499,none,7/1/03,
28,GDS49,Congenital heart disease (Mu11K-A),Use of E9.5 Csx/Nkx2.5 mutant embryos to identify downstream target genes and affected pathways of Nkx2.5 which has a function in cardiac differentiation.,Expression profiling by array,,GPL75,Mus musculus,in situ oligonucleotide,6584,Mus musculus,RNA,1,9,count,GSE78,none,4/4/03,
29,GDS50,Congenital heart disease (Mu11K-B),Use of E9.5 Csx/Nkx2.5 mutant embryos to identify downstream target genes and affected pathways of Nkx2.5 which has a function in cardiac differentiation.,Expression profiling by array,,GPL76,Mus musculus,in situ oligonucleotide,6595,Mus musculus,RNA,1,9,count,GSE78,none,4/8/03,
30,GDS51,Cochlear hair cell line differentiation time course (Mu11K-B),"Gene expression profile of differentiation of inner ear hair cell precursors in vitro. A conditionally immortal cell line derived from the mouse cochlea, UB/OC-1, examined from 0 to 14 days.",Expression profiling by array,12097346,GPL76,Mus musculus,in situ oligonucleotide,6595,Mus musculus,RNA,1,16,count,GSE36,ordered,4/4/03,
31,GDS52,Bone marrow B cell precursors (Mu11K-B),Gene expression profiles of five consecutive stages of B cell development. Flow-cytometrically purified or ex vivo-isolated cells examined.,Expression profiling by array,"1,177,983,517,890,230",GPL76,Mus musculus,in situ oligonucleotide,6595,Mus musculus,RNA,1,27,count,GSE13,none,4/1/03,
32,GDS53,CD34+ cell analysis,Comparison of gene expression in CD34+ cells from bone marrow and G-CSF-mobilized peripheral blood to investigate why the latter are optimal for allogeneic transplant recipients.,Expression profiling by array,11669215,GPL80,Homo sapiens,in situ oligonucleotide,7129,Homo sapiens,RNA,1,5,count,GSE500,none,7/1/03,
33,GDS56,Allergic response to ragweed in lung (U74Av2),Analysis of allergic response to an immunogenic protein of ragweed pollen in lung. Determination of the temporal relationship between gene expression and airway allergen challenge.,Expression profiling by array,,GPL81,Mus musculus,in situ oligonucleotide,12488,Mus musculus,RNA,1,5,count,GSE483,none,6/27/03,
34,GDS58,Allergic response to ragweed in lung (U74Bv2),Analysis of allergic response to an immunogenic protein of ragweed pollen in lung. Determination of the temporal relationship between gene expression and airway allergen challenge.,Expression profiling by array,,GPL82,Mus musculus,in situ oligonucleotide,12477,Mus musculus,RNA,1,6,count,GSE483,none,6/27/03,
35,GDS59,Lung hypertension recovery (U74Bv2),Analysis of vascular remodeling following pulmonary hypertension. Lungs of normoxic and hypoxic treated animals analyzed. Hypoxia induces vasoconstriction then hypertrophy/hyperplasia of pulmonary vascular smooth muscle and endothelial cell proliferation.,Expression profiling by array,,GPL82,Mus musculus,in situ oligonucleotide,12477,Mus musculus,RNA,1,10,count,GSE482,none,5/8/08,
36,GDS60,Allergic response to ragweed in lung (U74Cv2),Analysis of allergic response to an immunogenic protein of ragweed pollen in lung. Determination of the temporal relationship between gene expression and airway allergen challenge.,Expression profiling by array,,GPL83,Mus musculus,in situ oligonucleotide,11934,Mus musculus,RNA,1,7,count,GSE483,none,6/27/03,
37,GDS61,Lung hypertension recovery (U74Cv2),Analysis of vascular remodeling following pulmonary hypertension. Lungs of normoxic and hypoxic treated animals analyzed. Hypoxia induces vasoconstriction then hypertrophy/hyperplasia of pulmonary vascular smooth muscle and endothelial cell proliferation.,Expression profiling by array,,GPL83,Mus musculus,in situ oligonucleotide,11934,Mus musculus,RNA,1,10,count,GSE482,none,6/27/03,
38,GDS62,Sex differences in immune response,Gene expression in lungs of males 15 and 40 days post-infection with Seoul hantavirus compared with females. Part of an investigation into whether sex steroid hormones modulate sex differences in host immune response.,Expression profiling by array,,GPL85,Rattus norvegicus,in situ oligonucleotide,8799,Rattus norvegicus,RNA,1,12,count,GSE488,none,7/1/03,
39,GDS63,Spinal cord injury and regeneration time course: at T9 (RG-U34A),"Temporal analysis of molecular mechanisms of spinal cord degeneration and repair. Analyzed spinal cord at thoracic vertebrae T9 at various time points up to 28 days post injury. Mild, moderate and severe injury examined.",Expression profiling by array,12666113,GPL85,Rattus norvegicus,in situ oligonucleotide,8799,Rattus norvegicus,RNA,1,89,count,GSE464,none,5/8/08,
40,GDS64,Lung ventilation,"Analysis of the separate and combined effects of large tidal volume ventilation and hyperoxia in the lungs of anesthetized animals, using 21 or 100% oxygen.",Expression profiling by array,,GPL85,Rattus norvegicus,in situ oligonucleotide,8799,Rattus norvegicus,RNA,1,9,count,GSE489,none,11/15/05,
41,GDS69,Copper regulon,"Differential gene expression under growth conditions of excess copper or copper deficiency, regulated by Mac1 or Ace1 transcriptional activators.",Expression profiling by array,10922376,GPL65,Saccharomyces cerevisiae,spotted DNA/cDNA,8832,Saccharomyces cerevisiae,RNA,2,6,log ratio,GSE26,none,4/4/03,
42,GDS77,Macrophages infected with Salmonella (SHAD2),Identification of host pathways affected by the Salmonella virulence transcription factor phoP. phoP found to play a role in Salmonella-induced human macrophage cell death.,Expression profiling by array,11320214,GPL177,Homo sapiens,spotted DNA/cDNA,24192,Homo sapiens,RNA,2,2,log ratio,GSE503,none,7/23/03,
43,GDS78,Macrophages infected with Salmonella (SHAI2),Identification of host pathways affected by the Salmonella virulence transcription factor phoP. phoP found to play a role in Salmonella-induced human macrophage cell death.,Expression profiling by array,11320214,GPL183,Homo sapiens,spotted DNA/cDNA,24192,Homo sapiens,RNA,2,11,log ratio,GSE503,none,7/23/03,
44,GDS80,Macrophages infected with Salmonella (SHS)(I),Identification of host pathways affected by the Salmonella virulence transcription factor phoP. phoP found to play a role in Salmonella-induced human macrophage cell death.,Expression profiling by array,11320214,GPL181,Homo sapiens,spotted DNA/cDNA,24192,Homo sapiens,RNA,2,10,log ratio,GSE503,none,7/23/03,
45,GDS85,Serum stimulation time course (10k_print2),Temporal transcriptional program of primary fibroblasts in response to serum. Samples taken at various time points up to 24 hours.,Expression profiling by array,9872747,GPL169,Homo sapiens,spotted DNA/cDNA,9984,Homo sapiens,RNA,2,10,log ratio,GSE58,ordered,3/22/04,
46,GDS86,Serum stimulation time course (10k_print1),Analysis of a temporal transcriptional program in the response of primary fibroblast cultures to serum. Samples taken at 15 minutes and 2 hours.,Expression profiling by array,9872747,GPL168,Homo sapiens,spotted DNA/cDNA,10176,Homo sapiens,RNA,2,2,log ratio,GSE58,ordered,4/8/03,
47,GDS88,Cancer cell lines (10k_print2),Analysis of cell lines used in the National Cancer Institute's screen for anti-cancer drugs. Gene expression is linked to phenotypic properties and drug sensitivity profiles of the cell lines.,Expression profiling by array,10700174,GPL169,Homo sapiens,spotted DNA/cDNA,9984,Homo sapiens,RNA,2,5,log ratio,GSE59,none,4/8/03,
48,GDS91,Transcriptional regulation (I),Genetic linkage analysis of global expression levels in a cross between two budding yeast strains. Identification of cis-acting and trans-acting loci that modulate a total of 570 genes.,Expression profiling by array,11923494,GPL118,Saccharomyces cerevisiae,spotted DNA/cDNA,7085,Saccharomyces cerevisiae,RNA,2,40,log ratio,GSE37,none,4/8/03,
49,GDS92,Transcriptional regulation (I)(dye-swap),Genetic linkage analysis of global expression levels in a cross between two budding yeast strains. Identification of cis-acting and trans-acting loci that modulate a total of 570 genes.,Expression profiling by array,11923494,GPL118,Saccharomyces cerevisiae,spotted DNA/cDNA,7085,Saccharomyces cerevisiae,RNA,2,40,log ratio,GSE37,none,4/1/03,
50,GDS93,Transcriptional regulation (II),Genetic linkage analysis of global expression levels in a cross between two budding yeast strains. Identification of cis-acting and trans-acting loci that modulate a total of 570 genes.,Expression profiling by array,11923494,GPL118,Saccharomyces cerevisiae,spotted DNA/cDNA,7085,Saccharomyces cerevisiae,RNA,2,12,log ratio,GSE38,none,4/1/03,
