ID,Name,gds,description,sample_id,type
1.0,GDS5_1,GDS5,6 hour,GSM424,time
2.0,GDS5_2,GDS5,12 hour,GSM425,time
,,GDS5,,GSM426,
,,GDS5,,GSM431,
3.0,GDS5_3,GDS5,24 hour,GSM432,time
4.0,GDS6_1,GDS6,wildtype,GSM438,strain
,,GDS6,,GSM441,
,,GDS6,,GSM442,
,,GDS6,,GSM445,
,,GDS6,,GSM446,
,,GDS6,,GSM449,
,,GDS6,,GSM450,
,,GDS6,,GSM453,
,,GDS6,,GSM454,
,,GDS6,,GSM457,
,,GDS6,,GSM460,
,,GDS6,,GSM461,
,,GDS6,,GSM462,
,,GDS6,,GSM466,
5.0,GDS6_2,GDS6,glp-4(bn2),GSM439,strain
,,GDS6,,GSM440,
,,GDS6,,GSM443,
,,GDS6,,GSM444,
,,GDS6,,GSM447,
,,GDS6,,GSM448,
,,GDS6,,GSM451,
,,GDS6,,GSM452,
,,GDS6,,GSM455,
,,GDS6,,GSM456,
,,GDS6,,GSM458,
,,GDS6,,GSM459,
,,GDS6,,GSM463,
,,GDS6,,GSM464,
,,GDS6,,GSM465,
6.0,GDS6_3,GDS6,larval 2,GSM460,development stage
,,GDS6,,GSM461,
,,GDS6,,GSM462,
,,GDS6,,GSM464,
,,GDS6,,GSM463,
,,GDS6,,GSM465,
7.0,GDS6_4,GDS6,larval 3,GSM445,development stage
,,GDS6,,GSM447,
,,GDS6,,GSM449,
,,GDS6,,GSM451,
,,GDS6,,GSM453,
,,GDS6,,GSM455,
,,GDS6,,GSM459,
,,GDS6,,GSM466,
8.0,GDS6_5,GDS6,larval 4,GSM446,development stage
,,GDS6,,GSM448,
,,GDS6,,GSM450,
,,GDS6,,GSM452,
,,GDS6,,GSM454,
,,GDS6,,GSM456,
,,GDS6,,GSM457,
,,GDS6,,GSM458,
9.0,GDS6_6,GDS6,young adult,GSM438,development stage
,,GDS6,,GSM439,
,,GDS6,,GSM440,
,,GDS6,,GSM441,
,,GDS6,,GSM442,
,,GDS6,,GSM443,
,,GDS6,,GSM444,
10.0,GDS10_1,GDS10,spleen,GSM582,tissue
,,GDS10,,GSM583,
,,GDS10,,GSM584,
,,GDS10,,GSM585,
,,GDS10,,GSM586,
,,GDS10,,GSM587,
,,GDS10,,GSM588,
,,GDS10,,GSM589,
,,GDS10,,GSM590,
,,GDS10,,GSM591,
,,GDS10,,GSM592,
,,GDS10,,GSM593,
,,GDS10,,GSM594,
,,GDS10,,GSM595,
11.0,GDS10_2,GDS10,thymus,GSM596,tissue
,,GDS10,,GSM597,
,,GDS10,,GSM598,
,,GDS10,,GSM599,
,,GDS10,,GSM600,
,,GDS10,,GSM601,
,,GDS10,,GSM602,
,,GDS10,,GSM603,
,,GDS10,,GSM604,
,,GDS10,,GSM605,
,,GDS10,,GSM606,
,,GDS10,,GSM607,
,,GDS10,,GSM608,
,,GDS10,,GSM609,
12.0,GDS10_3,GDS10,NOD,GSM582,strain
,,GDS10,,GSM589,
,,GDS10,,GSM596,
,,GDS10,,GSM603,
13.0,GDS10_4,GDS10,Idd3,GSM583,strain
,,GDS10,,GSM590,
,,GDS10,,GSM597,
,,GDS10,,GSM604,
14.0,GDS10_5,GDS10,Idd5,GSM584,strain
,,GDS10,,GSM591,
,,GDS10,,GSM598,
,,GDS10,,GSM605,
15.0,GDS10_6,GDS10,Idd3+Idd5,GSM585,strain
,,GDS10,,GSM592,
,,GDS10,,GSM599,
,,GDS10,,GSM606,
16.0,GDS10_7,GDS10,Idd9,GSM586,strain
,,GDS10,,GSM593,
,,GDS10,,GSM600,
,,GDS10,,GSM607,
17.0,GDS10_8,GDS10,B10.H2g7,GSM587,strain
,,GDS10,,GSM594,
,,GDS10,,GSM601,
,,GDS10,,GSM608,
18.0,GDS10_9,GDS10,B10.H2g7 Idd3,GSM588,strain
,,GDS10,,GSM595,
,,GDS10,,GSM602,
,,GDS10,,GSM609,
19.0,GDS10_10,GDS10,diabetic,GSM582,disease state
,,GDS10,,GSM589,
,,GDS10,,GSM596,
,,GDS10,,GSM603,
20.0,GDS10_11,GDS10,diabetic-resistant,GSM583,disease state
,,GDS10,,GSM590,
,,GDS10,,GSM597,
,,GDS10,,GSM604,
,,GDS10,,GSM584,
,,GDS10,,GSM591,
,,GDS10,,GSM598,
,,GDS10,,GSM605,
,,GDS10,,GSM585,
,,GDS10,,GSM592,
,,GDS10,,GSM599,
,,GDS10,,GSM606,
,,GDS10,,GSM586,
,,GDS10,,GSM593,
,,GDS10,,GSM600,
,,GDS10,,GSM607,
21.0,GDS10_12,GDS10,nondiabetic,GSM587,disease state
,,GDS10,,GSM594,
,,GDS10,,GSM601,
,,GDS10,,GSM608,
,,GDS10,,GSM588,
,,GDS10,,GSM595,
,,GDS10,,GSM602,
,,GDS10,,GSM609,
22.0,GDS12_1,GDS12,HS-5,GSM834,cell line
,,GDS12,,GSM835,
,,GDS12,,GSM836,
,,GDS12,,GSM837,
23.0,GDS12_2,GDS12,HS-27a,GSM838,cell line
,,GDS12,,GSM839,
,,GDS12,,GSM840,
,,GDS12,,GSM841,
24.0,GDS15_1,GDS15,17°C,GSM883,temperature
25.0,GDS15_2,GDS15,21°C,GSM930,temperature
26.0,GDS15_3,GDS15,25°C,GSM929,temperature
27.0,GDS15_4,GDS15,29°C,GSM928,temperature
28.0,GDS15_5,GDS15,33°C,GSM926,temperature
29.0,GDS15_6,GDS15,37°C,GSM925,temperature
30.0,GDS16_1,GDS16,5 minute,GSM854,time
31.0,GDS16_2,GDS16,10 minute,GSM855,time
32.0,GDS16_3,GDS16,15 minute,GSM856,time
33.0,GDS16_4,GDS16,20 minute,GSM857,time
,,GDS16,,GSM864,
34.0,GDS16_5,GDS16,40 minute,GSM865,time
35.0,GDS16_6,GDS16,60 minute,GSM868,time
36.0,GDS16_7,GDS16,80 minute,GSM872,time
37.0,GDS17_1,GDS17,DBY7286 wild type,GSM1002,strain
38.0,GDS17_2,GDS17,DBYyap1- mutant,GSM1003,strain
39.0,GDS18_1,GDS18,2 hour,GSM842,time
40.0,GDS18_2,GDS18,4 hour,GSM843,time
41.0,GDS18_3,GDS18,8 hour,GSM844,time
42.0,GDS18_4,GDS18,12 hour,GSM845,time
43.0,GDS18_5,GDS18,1 day,GSM846,time
44.0,GDS18_6,GDS18,2 day,GSM847,time
45.0,GDS18_7,GDS18,3 day,GSM848,time
46.0,GDS18_8,GDS18,5 day,GSM849,time
47.0,GDS18_9,GDS18,7 day,GSM850,time
48.0,GDS18_10,GDS18,13 day,GSM851,time
49.0,GDS19_1,GDS19,30 minute,GSM880,time
50.0,GDS19_2,GDS19,1 hour,GSM881,time
51.0,GDS19_3,GDS19,2 hour,GSM882,time
52.0,GDS19_4,GDS19,4 hour,GSM874,time
53.0,GDS19_5,GDS19,8 hour,GSM875,time
54.0,GDS19_6,GDS19,12 hour,GSM876,time
55.0,GDS19_7,GDS19,1 day,GSM877,time
56.0,GDS19_8,GDS19,2 day,GSM878,time
57.0,GDS19_9,GDS19,3 day,GSM879,time
58.0,GDS20_1,GDS20,60 minute,GSM938,time
59.0,GDS20_2,GDS20,90 minute,GSM939,time
60.0,GDS20_3,GDS20,5 minute,GSM972,time
61.0,GDS20_4,GDS20,45 minute,GSM1037,time
62.0,GDS20_5,GDS20,15 minute,GSM1039,time
63.0,GDS20_6,GDS20,30 minute,GSM1040,time
64.0,GDS21_1,GDS21,raffinose,GSM907,growth protocol
65.0,GDS21_2,GDS21,glucose,GSM990,growth protocol
66.0,GDS21_3,GDS21,galactose,GSM991,growth protocol
67.0,GDS21_4,GDS21,fructose,GSM997,growth protocol
68.0,GDS21_5,GDS21,sucrose,GSM999,growth protocol
69.0,GDS21_6,GDS21,ethanol,GSM1001,growth protocol
70.0,GDS23_1,GDS23,otd overexpressing mutant,GSM1351,strain
,,GDS23,,GSM1352,
,,GDS23,,GSM1353,
,,GDS23,,GSM1354,
71.0,GDS23_2,GDS23,OTX2 overexpressing mutant,GSM1355,strain
,,GDS23,,GSM1356,
,,GDS23,,GSM1357,
,,GDS23,,GSM1358,
